STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,log_total_exp,log_federal_rev,log_state_rev,log_local_rev,log_instruction_exp,log_support_services_exp,log_other_exp,log_capital_outlay_exp
Iowa,1993,493957,2880731,131444,1299055,1450232,2889377,1522556,818922,114390,196098,14.8765514659156,11.7863361843844,14.0771476350182,14.1872341015981,14.235901059499,13.6157441202045,11.6473689415197,12.1863698132543
Kansas,1993,451469,2386945,123082,1165178,1098685,2522542,1309958,802965,142268,195674,14.74077768122,11.7206060788977,13.9683844230104,13.9096245680974,14.0855056335947,13.5960664054285,11.8654678817689,12.1842052881451
Kentucky,1993,489281,2381148,216900,1529326,634922,2283431,1247496,711873,151526,127578,14.6411896943782,12.287191696815,14.2403376734341,13.3612574356844,14.0366489001898,13.4756548036976,11.9285125063687,11.7564832212348
Louisiana,1993,795719,3438321,397206,1876967,1164148,3427102,1898515,997974,262609,173012,15.0472255640555,12.8922103167792,14.4451677341674,13.9675000469573,14.4565825595972,13.81348250285,12.4784215129216,12.0611162352362
Maine,1993,211511,1368095,77440,652164,638491,1321846,809278,328664,67864,55490,14.0945398024418,11.2572587219505,13.3880513430218,13.366862858819,13.6038977711281,12.7027912312935,11.1252609814876,10.9239581033199
Maryland,1993,751850,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147,324925,15.4045202274455,12.4380213177394,14.4785659892917,14.8180105452145,14.8398323962921,14.2264294338748,12.3200573655993,12.6913496654498
Massachusetts,1993,862495,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641,59238,15.5523316765991,12.6284374787777,14.4700837362084,15.1744794560829,14.9902279660164,14.3583138038398,12.1633791091007,10.9893185068395
Michigan,1993,1600650,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410,932700,16.2518358467819,13.2950149973644,15.0175058082185,15.7774627708516,15.5041235402446,15.1210687210017,13.4806110839034,13.745838884715
Minnesota,1993,781566,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306,512196,15.4814240733983,12.2724407419737,14.6414852584885,14.6762061240775,14.8294414803311,14.0991537350479,13.0525973499665,13.1464626432676
Mississippi,1993,329408,1170109,174870,612301,382938,1167032,652571,318799,89766,87575,13.9699743316297,12.0717981197077,13.3249792706511,12.8556283751633,13.3886752245199,12.6723160891304,11.4049615634423,11.3802508480657
Missouri,1993,834636,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686,399553,15.2588572856346,12.5118941983097,14.4778015450345,14.5015439957484,14.6174610210533,14.0387461050467,12.3357227657523,12.8981017012214
Montana,1993,158875,813998,74386,445532,294080,833435,446245,261677,64200,49720,13.6333109937289,11.2170230310716,13.0070243527186,12.5916071181495,13.0086234075314,12.4748661977626,11.0697584896781,10.8141625456246
Nebraska,1993,281354,1625242,94308,509432,1021502,1642376,972575,424311,57564,141118,14.3116545318183,11.4543213006542,13.1410516585572,13.8367846511429,13.7877024723237,12.9582219559074,10.9606526512901,11.8573516988046
Nevada,1993,222846,1148268,52876,753277,342115,1265367,611914,360827,41799,195478,14.0508727566446,10.8757048286993,13.5321883010232,12.7429022168329,13.3243470287444,12.7961538980736,10.6406276947817,12.1832031201061
